#,SuperCategory,SubCategory,Level,Lexical Range,guideword,Can-do statement,Example
314,DETERMINERS,demonstratives,B1,N/A,"USE: 'THIS', PAST ",Can use 'this' with time and date words to refer to the past.,"Hi Mark, Thank you for your lovely letter which I received this morning. (Libya; B1 THRESHOLD; 2009; Arabic - Meghreb; Pass)

It was the best decision I've ever made. It happened this summer. (Czech Republic; B1 THRESHOLD; 2007; Czech; Pass)"
315,DETERMINERS,demonstratives,C2,N/A,"USE: 'THIS', IN NARRATIVES",Can use 'this' with nouns and noun phrases in a narrative to create a sense of immediacy.,"[talking about two characters in a story] There's this flame of passion between them. (France; C2 MASTERY; 1993; French; Pass)

It's a story where there's this old man who makes a marionette that comes to life. (Japan; C2 MASTERY; 2000; Japanese; Pass)

In our group there was this girl, tiny and fragile, very sensitive; she had a special way with words. (C2 MASTERY; 1993; Portuguese; Pass)"
316,DETERMINERS,demonstratives,C2,N/A,FORM/USE: 'THIS' WITH NOUN AND POSSESSIVE,"Can use 'this' + noun + 'of' + possessive pronoun to highlight something, often in a positive way. ","What is more, not only is this rare talent of theirs used for public pleasure but also for international sports success, which makes us all proud. (Greece; C2 MASTERY; 2009; Greek; Pass)

This characteristic of his is shown in every situation of his life. (Brazil; C2 MASTERY; 1993; Portuguese; Pass)"
317,DETERMINERS,demonstratives,C2,N/A,USE: EMOTIONAL DISTANCE,"Can use 'that' and 'those' to convey emotional distance, often to express disapproval.","I also told her that if I had been in her shoes, I would not have put up with that sort of behaviour. (Greece; C2 MASTERY; 1993; Greek; Pass)

Nowadays, celebrities, like pop stars or football players, are often worshipped by hysterical crowds of fans who can't see through the mask that those so-called heroes make up to sell the product that they are. (Portugal; C2 MASTERY; 2005; Portuguese; Pass)"
318,DETERMINERS,possessives,A1,N/A,FORM: WITH NOUNS,"Can use possessive determiners 'my', 'your', 'his', 'her' and 'our' before nouns. ► noun phrases ► possessive pronouns","I live with my family. My home is a flat. (A1 BREAKTHROUGH; 2009; Urdu; Pass)

… my neighbours are very nice and helpful. (A1 BREAKTHROUGH; 2009; Panjabi; Pass)

I like my teachers. (A1 BREAKTHROUGH; 2007; Farsi; Pass)

I live with my mother and her boyfriend. (A1 BREAKTHROUGH; 2009; Polish; Pass)

Our house has four rooms, one bathroom and one toilet. (A1 BREAKTHROUGH; 2009; Slovak; Pass)"
319,DETERMINERS,possessives,A2,N/A,FORM: SINGULAR NOUN +''S',Can use ''s' after singular or proper nouns to indicate possession.,"It's very important for me because it's my sister's jacket. (Uruguay; A2 WAYSTAGE; 2005; Spanish - Latin American; Pass)

I'll wear them at Linda's party. (Italy; A2 WAYSTAGE; 2008; Italian; Pass)"
320,DETERMINERS,possessives,A2,N/A,FORM: WITH QUANTIFYING DETERMINERS + 'OF',Can use quantifying determiners + possessive determiners + 'of' + noun. ► noun phrases,"All of my friends were there. (Brazil; A2 WAYSTAGE; 2004; Portuguese; Pass)

I bought some T-shirts and jeans, because some of my clothes are too small for me. (Taiwan; A2 WAYSTAGE; 2008; Chinese; Pass)

Bring some of your DVDs. (Italy; A2 WAYSTAGE; 2009; Italian; Pass)

But after that I saw that I spent all of my money! (Cyprus; A2 WAYSTAGE; 2008; Turkish; Pass)

I spent a long time receiving presents, all of my family were here. (Brazil; A2 WAYSTAGE; 2004; Portuguese; Pass)"
321,DETERMINERS,possessives,B1,N/A,FORM: 'THEIR',Can use possessive determiner 'their'. ► noun phrases ► possessive pronouns,"They were having the time of their lives, watching all the animals the zoo had, but when they returned to their car, they saw that someone was stealing Paul's suitcase. (Mexico; B1 THRESHOLD; 2006; Spanish - Latin American; Pass)

They filmed the artists and their work. (Portugal; B1 THRESHOLD; 2008; Portuguese; Pass)

I couldn't see their faces. (B1 THRESHOLD; 2007; Italian; Pass)"
322,DETERMINERS,possessives,B1,N/A,FORM: IRREGULAR PLURAL NOUN + ''S',Can use ''s' after irregular plural nouns to indicate possession.,"When I go out with my friends, I actually like wearing clothes that attract people's attention. (Peru; B1 THRESHOLD; 2006; Spanish - Latin American; Pass)

The second reason is: it is too far from the children's school and, unfortunately, I haven't got a car. (B1 THRESHOLD; 2007; Slovak; Pass)"
323,DETERMINERS,possessives,B2,N/A,FORM: 'ITS',Can use possessive determiner 'its' before nouns to refer to a singular inanimate subject or object.,"It was the biggest TV in the bazaar with its huge, black screen. (Turkey; B1 THRESHOLD; 2009; Turkish; Pass)

The journey was quite long but Verona is a great city, with its buildings and churches. (Italy; B1 THRESHOLD; 1999; Italian; Pass)

They've chosen my school because of its size. (Portugal; B1 THRESHOLD; 2008; Portuguese; Pass)"
324,DETERMINERS,possessives,B2,N/A,USE: GENERIC 'THEIR',Can use 'their' before nouns to refer to a generic body or group of people expressed as a singular subject. ► generic pronouns,"… yet everyone has their preference for one or another. (Greece; B2 VANTAGE; 2000; Greek; Pass)

Everyone has their own opinion. (B2 VANTAGE; 2008; Cantonese; Pass)

IBM is a very important customer for us and they ordered 10,000 colour copies which show their new product. (Germany; B2 VANTAGE; 2003; German; Pass)"
325,DETERMINERS,possessives,B2,N/A,FORM: PLURAL NOUN + 'S'',Can use 's'' after plural nouns to indicate possession.,"I decided to spend the rest of my holiday in my parents' house, near the sea. (France; B2 VANTAGE; 1993; French; Pass)

So, if you want to study animals' behaviour, try to do it without changing the real circumstances in which they act! (Italy; B2 VANTAGE; 1993; Italian; Pass)"
326,DETERMINERS,possessives,B2,N/A,FORM: OF + NOUN PHRASE ''S',Can use ''s' after a noun phrase with of to indicate possession.,"Actually, I know a great one and they can make a little discount for us because the owner is a friend of my father's . (Albania; B2 VANTAGE; 2009; Albanian; Pass)"
327,DETERMINERS,possessives,C1,N/A,FORM: 'ONE'S',"Can use 'one's' to indicate possession, referring to people in general. ","Living in Greece, I have had a chance to realise how much tourism can affect one's life. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2007; Greek; Pass)

After one has spent enough time away from one 's parents and has a personality of one's own, it is definitely possible to move in with one's parents. (Romania; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; Hungarian; Pass)

In my opinion, this process depends on one's ability to open another way of communicating apart from one's mother language. (Portugal; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; Portuguese; Pass)"
328,DETERMINERS,possessives,C2,N/A,FORM: SINGULAR NOUN ENDING IN 'S' + APOSTROPHE,"Can use an apostrophe after singular nouns ending in 's', to indicate possession.","However, I believe that in order to maintain its popularity, the programme should keep some of the series' aspects the same, but alter some others. (Greece; C2 MASTERY; 2009; Greek; Pass)"
329,DETERMINERS,possessives,C2,N/A,FORM: ''S' WITH ELLIPTED NOUN,Can use ''s' without a following noun when the noun has already been mentioned or is obvious in the context.,"Olivia's experiences probably are the narrator's. (Italy; C2 MASTERY; 1993; Italian; Pass)

He started to shake me and meanwhile I heard a familiar voice; it was my father's. (Portugal; C2 MASTERY; 1993; Portuguese; Pass)

Suddenly, after two weeks I realised that my bank account was empty and so was my friend's. (Netherlands; C2 MASTERY; 1998; Dutch; Pass)"
330,DETERMINERS,possessives,C2,N/A,FORM: ''S + 'S',Can use two possessive ''s' constructions in the same noun phrase.,"There were no photographs of him in Ann 's mother's albums. (Poland; C2 MASTERY; 1993; Polish; Pass)

They spent two weeks together at Emily's grandmother's house, after fourteen months of dating. (Argentina; C2 MASTERY; 1993; Spanish - Latin American; Pass)
"
331,DETERMINERS,quantity,A1,1,FORM: WITH PLURAL NOUNS,"Can use a limited range of quantifying determiners with plural nouns ('some', 'lots of', 'a lot of' and numbers).","Near my home there are some shops. (Portuguese, A1 BREAKTHROUGH, Pass, 2009)

My house has got three rooms. (Polish, A1 BREAKTHROUGH, Pass, 2009)

I had a lot of friends in this town. (A1 BREAKTHROUGH; 2007; Pashto; Pass)

For homework we have to write lots of things. (A1 BREAKTHROUGH; 2007; ; Pass)"
332,DETERMINERS,quantity,A1,1,FORM: WITH SINGULAR NOUNS,"Can use a limited range of quantifying determiners with singular nouns ('a', 'every').► determiners: articles","In my home are 3 bedrooms. I have a big kitchen and small toilet. (A1 BREAKTHROUGH; 2009; Polish; Pass)

The first floor has two bedrooms and a big bathroom with a bath. (A1 BREAKTHROUGH; 2009; Romanian; Pass)

I go to India every year to see my friends and family. (Panjabi, A1 BREAKTHROUGH, Pass, 2007)

I go to college every day. (A1 BREAKTHROUGH; 2007; Polish; Pass)"
333,DETERMINERS,quantity,A2,2,FORM: WITH PLURAL NOUNS,"Can use an increasing range of quantifying determiners with plural nouns ('all', 'both', 'a few').","This notice is for all students: we are going to have a concert at school. (Spain; A2 WAYSTAGE; 2005; Spanish - European; Pass)

It was exciting as both teams played well, but India won the match. (India; A2 WAYSTAGE; 2007; Hindi; Pass)

I'm just writing to say hello, and to tell you a few things. (Spanish - Latin American, A2 WAYSTAGE, Pass, 2008)
"
334,DETERMINERS,quantity,A2,N/A,FORM: WITH PLURAL AND UNCOUNTABLE NOUNS,"Can use a range of quantifying determiners ('some', 'any', 'no', 'more', 'a lot of') with both plural nouns and uncountable nouns.","I think we should bring some water to drink. (Cyprus; A2 WAYSTAGE; 2006; Turkish; Pass)

I bought them because I don't have any clothes for the summer and I need them! (Spanish - European, A2 WAYSTAGE, Pass, 2008)

The weather was great. There were no clouds. (Japanese, A2 WAYSTAGE, Pass, 2009)

I want to see that film but I have no time today because I have more work at home. (Sri Lanka; A2 WAYSTAGE; 2003; Tamil; Pass)

If you want more details, you can call this number. (Sri Lanka; A2 WAYSTAGE; 2010; Singhalese; Pass)

We will meet at my house at 10.15, so we will have more time in the club. (Spanish - Latin American, A2 WAYSTAGE, Pass, 2008)

We danced, played games and had lots of fun . (India; A2 WAYSTAGE; 2004; Gujarati; Pass)"
335,DETERMINERS,quantity,A2,2,FORM: WITH SINGULAR NOUNS,"Can use an increasing range of quantifying determiners with singular nouns ('each', 'an', 'one' and numbers). ","The new art class starts next Monday and each class is about 1 hour long. (Hong Kong; A2 WAYSTAGE; 2006; Chinese; Pass)

Yesterday I bought three t-shirts: one blue t-shirt, one pink t-shirt and one yellow t-shirt. (Spain; A2 WAYSTAGE; 2008; Spanish - European; Pass)

We have an extra ticket and are wanting you to come. (India; A2 WAYSTAGE; 2009; Hindi; Pass)"
336,DETERMINERS,quantity,A2,N/A,"FORM: 'MUCH' WITH UNCOUNTABLE NOUNS, NEGATIVE",Can use 'much' with uncountable nouns in negative contexts.,"But we didn't have much money, so we didn't buy many things. (Vietnam; A2 WAYSTAGE; 2009; Vietnamese; Pass)

I want to sell the television because I haven't got much time to watch it. (France; A2 WAYSTAGE; 2002; French; Pass)"
337,DETERMINERS,quantity,A2,N/A,"FORM: 'MANY' WITH PLURAL NOUNS, NEGATIVE",Can use 'many' with plural nouns in negative contexts.,"There aren't many tickets. (other; A2 WAYSTAGE; 2010; Others; Pass)

I bought them because I haven't got many winter clothes. (Spain; A2 WAYSTAGE; 2008; Spanish - European; Pass)"
338,DETERMINERS,quantity,A2,N/A,FORM: 'SO MANY' WITH PLURAL NOUNS,Can use 'so many' and 'too many' with plural nouns.,"We played so many games, like dog and bone, four corners, and many more. (India; A2 WAYSTAGE; 2004; Gujarati; Pass)

We visited so many places, mostly monuments. The weather was perfect. (Philippines; A2 WAYSTAGE; 2009; Tagalog; Pass)

I know, I bought too many things but I liked all of them. (Turkey; A2 WAYSTAGE; 2008; Turkish; Pass)"
339,DETERMINERS,quantity,A2,2,FORM: DETERMINER + 'OF' + DETERMINER,"Can use a range of quantifying determiners + 'of' + determiner ('all of', 'some of', 'both of', 'many of', 'any of', number + 'of', 'each of'). ► pronouns: quantity","I spent all of my money! (Turkish, A2 WAYSTAGE, Pass, 2008)

Some of my friends gave me books. (Farsi, A2 WAYSTAGE, Pass, 2004)

The competition was very tough because both of the teams were good. (Bengali, A2 WAYSTAGE, Pass, 2007)

Many of my relatives and friends had come. (Tamil, A2 WAYSTAGE, Pass, 2004)

I enjoyed the party. I had invited five of my friends and my family. (Gujarati, A2 WAYSTAGE, Pass, 2004)

Without a library card you can't take any of the books with you. (Saudi Arabia; A2 WAYSTAGE; 2005; Urdu; Pass)"
340,DETERMINERS,quantity,B1,3,FORM: WITH PLURAL NOUNS,"Can use a wide range of quantifying determiners with plural nouns ('several', 'millions of', 'a few of').","So several days ago we received a complaint. (Chinese, B1 THRESHOLD, Pass, 2002)

I took it and wished to have millions of dollars. (Mexico; B1 THRESHOLD; 2010; Spanish - Latin American; Pass)

They interviewed a few of the students, the teachers and the headmistress. (Egypt; B1 THRESHOLD; 2008; Arabic - Egyptian; Pass)"
341,DETERMINERS,quantity,B1,N/A,FORM/USE: WITH UNCOUNTABLE NOUNS,"Can use quantifying determiners with uncountable nouns, often in informal and/or spoken contexts ('a little', 'a bit of' and 'a little bit of').","I went with my friends so we could spend a little time together. (Spanish - Latin American, B1 THRESHOLD, Pass, 2003)

I had a bit of free time, so I took the bus and I went to my friend's house. (Greece; B1 THRESHOLD; 2008; Greek; Pass)

I just watch a little bit of TV when I come home from school. (Turkey; B1 THRESHOLD; 2007; Turkish; Pass)"
342,DETERMINERS,quantity,B1,2,FORM: WITH PLURAL AND UNCOUNTABLE NOUNS,"Can use an increasing range of quantifying determiners with both plural nouns and uncountable nouns ('most', 'enough', 'plenty of', 'loads of').","I'm convinced that most people watch too much TV these days. (Russian, B1 THRESHOLD, Pass, 2010)

If you haven't got enough credit on your phone, we can meet at 11 am at the bookshop. (===NONE===, B1 THRESHOLD, Pass, 2004)

I think if we meet at 8 pm, we'll have plenty of time to buy the tickets and some drinks. (Hungary; B1 THRESHOLD; 2004; Hungarian; Pass)

We went to loads of beautiful places. (Brazil; B1 THRESHOLD; 2003; Portuguese; Pass)"
343,DETERMINERS,quantity,B1,N/A,"FORM: 'MUCH' WITH UNCOUNTABLE NOUNS, INTERROGATIVE",Can use 'much' with uncountable nouns in interrogative contexts.,"How much television do you watch? (Portugal; B1 THRESHOLD; 2007; Portuguese; Pass)

Do you watch much TV? (Portugal; B1 THRESHOLD; 2010; Portuguese; Pass)"
344,DETERMINERS,quantity,B1,N/A,"FORM: 'SO MUCH', 'TOO MUCH' WITH UNCOUNTABLE NOUNS",Can use 'so much' and 'too much' with uncountable nouns.,"Hello Marina. Unfortunately I have so much work at the moment that I can't help you. (Germany; B1 THRESHOLD; 2005; German; Pass)

My neighbours are making too much noise. (B1 THRESHOLD; 2007; Farsi; Pass)"
345,DETERMINERS,quantity,B1,N/A,"FORM: 'MANY' WITH PLURAL NOUNS, INTERROGATIVE",Can use 'many' with plural nouns in interrogative contexts.,"Have you got many friends in England? (Brazil; B1 THRESHOLD; 2009; Portuguese; Pass)

[talking about TV] How many channels are there in Britain? (Spain; B1 THRESHOLD; 2010; Spanish - European; Pass)"
346,DETERMINERS,quantity,B1,3,FORM: DETERMINER + 'OF' + DETERMINER,"Can use an increasing range of quantifying determiners + 'of' + determiner ('half of', 'enough of', 'none of',).► pronouns","In my opinion you should spend half of your holiday with your parents and the other half with your friends: I think this would be the best thing to do. (Italy; B1 THRESHOLD; 2008; Italian; Pass)

Anyway that's enough of my news! (Italy; B1 THRESHOLD; 2002; Italian; Pass)

Although I knew which kind of dress I wanted, none of the stores had it. (Switzerland; B1 THRESHOLD; 2010; Swiss German; Pass)"
347,DETERMINERS,quantity,B1,N/A,FORM: MODIFYING,Can modify determiners with adverbs. ► adverbs,"Because almost all of the programmes are stupid. (Turkey; B1 THRESHOLD; 2007; Turkish; Pass)

His name is Richard and since we were just little kids, we've spent nearly every day together. (Germany; B1 THRESHOLD; 2008; German; Pass)"
348,DETERMINERS,quantity,B2,N/A,FORM: 'LITTLE/FEW',"Can use modifier + 'little' + uncountable nouns and modifier + 'few' + countable nouns, to indicate a lack of something or not as much as expected of something.► adverbs","I spend very little time outside, and I know I do not have enough stamina and strength. (Poland; B2 VANTAGE; 1993; Polish; Pass)

We are sick of working hard for so little money. (Portugal; B2 VANTAGE; 1993; Portuguese; Pass)

There are so few animals living on the earth today and the pandas have so few places left to live and to eat, so we must try helping these animals. (Denmark; B2 VANTAGE; 1993; Danish; Pass)"
349,DETERMINERS,quantity,C1,N/A,"FORM: 'EITHER', 'NEITHER' WITH SINGULAR NOUNS",Can use 'either' and 'neither' with singular nouns.,"Second, we would draw your attention to the fact that neither party could foresee or predict the recent rise in the price of wheat. (Russia; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2007; Russian; Pass)

In the Czech Republic, somewhere between those two extremes, either way is possible. (Czech Republic; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; Czech; Pass)

This way, the toilet can be accessed easily from either floor. (United States of America; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2000; Chinese; Pass)"
350,DETERMINERS,quantity,C1,N/A,"FORM: 'EITHER', 'NEITHER' + 'OF' + DETERMINER WITH PLURAL NOUNS",Can use 'either' and 'neither' + 'of' with plural noun phrases or pronouns.► pronouns,"Either of the measures is recommended and those measures are bound to enhance the company's competitive power. (China; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2002; Chinese; Pass)

Of course if you are not at all interested in sports, neither of these games will be of any interest to you. (Sweden; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2000; Swedish; Pass)

However, you forgot to add that neither of us could foresee the rise in the price of wheat. (Poland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2007; Polish; Pass)
"
351,DETERMINERS,quantity,C1,N/A,USE: HYPERBOLE,"Can use determiners in hyperbole, often in informal contexts ('millions of', 'loads of', 'tons of').","My kitchen is absolutely cramped. I love cooking and despite the fact that I have no space, I managed to fit in a table as well as millions of cookbooks and all the necessary kitchen tools. (German, C1 EFFECTIVE OPERATIONAL PROFICIENCY, Pass, 2000)

I'm going to make loads of cookies this year and will give them in nice little boxes to my family and friends. (German, C1 EFFECTIVE OPERATIONAL PROFICIENCY, Pass, 2008)

I received tons of plastic ducks every time I had my birthday or some kind of celebration. (Greek, C1 EFFECTIVE OPERATIONAL PROFICIENCY, Pass, 2008)"
352,DETERMINERS,quantity,C2,N/A,"FORM/USE: 'MANY A' WITH SINGULAR NOUNS, FOR FOCUS",Can use 'many a' or 'many an' + singular noun for emphasis and focus.,"We have come a long way and climbed many a mountain but are we really better off than our ancestors? (Poland; C2 MASTERY; 1993; Polish; Pass)

Her father's pharmacy was broken into very often, the local drug addicts were relentless and Mary was threatened many a time on her way home from work. (Switzerland; C2 MASTERY; 2001; Greek; Pass)

It has raised many an issue which I would like to comment upon here. (Russia; C2 MASTERY; 2006; Russian; Pass)"
353,FUTURE,future continuous,A2,N/A,FORM: AFFIRMATIVE WITH 'WILL',Can use the affirmative form with 'will'.,"I'll be waiting for you. (Portugal; A2 WAYSTAGE; 2009; Portuguese; Pass)

We will be starting at 12 o'clock this afternoon. (Malaysia; A2 WAYSTAGE; 2006; Chinese; Pass)"
354,FUTURE,future continuous,A2,N/A,USE: FUTURE ARRANGEMENTS,Can use the future continuous with 'will' to talk about an event or action in progress at a specified time in the future.,"Tomorrow please come at 4.30 pm because I'll be working before. (France; A2 WAYSTAGE; 2009; French; Pass)

Tomorrow I'll be studying in the morning, so you can come at 2. (Brazil; A2 WAYSTAGE; 2009; Portuguese; Pass)"
355,FUTURE,future continuous,B1,N/A,FORM: AFFIRMATIVE,Can use the affirmative form with 'will' and 'shall'.,"However, I shall be attending class the day after tomorrow and I shall cover the work I miss by copying it from John. (India; B1 THRESHOLD; 2006; Tamil; Pass)

We will be waiting for you at the River's Café at 6.30. (Mexico; B1 THRESHOLD; 2004; Spanish - Latin American; Pass)"
356,FUTURE,future continuous,B1,N/A,FORM: NEGATIVE WITH 'WILL',Can use the negative form with 'will' ('won’t').,"I would like you to know that I won't be attending your English class next week. (Argentina; B1 THRESHOLD; 2009; Spanish - Latin American; Pass)

I won't be coming because my family and I are going on a tour of London. (Malaysia; B1 THRESHOLD; 2006; Malay; Pass)"
357,FUTURE,future continuous,B2,N/A,FORM: QUESTIONS,Can use 'yes/no' and 'wh-' question forms with 'will'.,"Will they be holding any activities at night? (Brazil; B2 VANTAGE; 2008; Portuguese; Pass)

Will I be needing any money? (Switzerland; B2 VANTAGE; 2000; French; Pass)

What will you be doing in a few years if now you don't even try to do anything? (Poland; B2 VANTAGE; 1999; Polish; Pass)"
358,FUTURE,future continuous,B2,N/A,USE: POLITENESS,"Can use the future continuous with 'will' as a polite question form, in place of the present simple or future simple.  ",Will I be needing any money? (Switzerland; B2 VANTAGE; 2000; French; Pass)
359,FUTURE,future continuous,C1,N/A,USE: EXPECTATIONS WITH 'MIGHT' OR 'MAY',Can use the future continuous with 'might' or 'may' to talk about an event or activity potentially in progress at a specified or understood time in the future.,"As far as I'm concerned, we should definitely do some additional publicity, particularly for the new offerings which might be coming up. (Netherlands; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2006; Dutch; Pass)

For example, your boss may be calling at 10 pm asking you to prepare a report for next day's meeting. (China; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2010; Chinese; )"
360,FUTURE,future expressions with be,B2,N/A,FORM: 'BE ABOUT TO',Can use the present forms of 'be' + 'about to'.,"You are not going to believe what I am about to tell you! (Chile; B2 VANTAGE; 2000; Spanish - Latin American; Pass)

I'm in a hurry, my class is about to begin. (Yugoslavia; B2 VANTAGE; 2006; Serbian; Pass)

They are to offer the spectators a view of the variety and the beauty of the world we are surrounded by and which we are about to destroy. (Jordan; B2 VANTAGE; 1993; German; Pass)"
361,FUTURE,future expressions with be,B2,N/A,FORM: 'BE DUE TO',Can use the present form of 'be' + 'due to'.,"I am afraid that July is the only appropriate month, because I am due to start work in August. (Turkey; B2 VANTAGE; 2000; Turkish; Pass)

As some of the members of our team are due to be present at a sales promotion programme next Friday, the marketing meeting once scheduled for next Friday is postponed to next Saturday. (China; B2 VANTAGE; 2008; Chinese; Pass)"
362,FUTURE,future expressions with be,B2,N/A,FORM: 'BE TO',Can use the present form of 'be' + 'to'.,"Dear Erica, I am sorry that I cannot attend the meeting at head office as expected, as I am to go on a business trip to New York then. (China; B2 VANTAGE; 2002; Chinese; Pass)

He is to come to Athens next Friday. (Greece; B2 VANTAGE; 1993; Greek; Pass)"
363,FUTURE,future expressions with be,B2,N/A,USE: IMMEDIATE FUTURE WITH 'BE ABOUT TO',"Can use 'be about to' to talk about the immediate future, often with 'just'. ","I know what you 're about to answer, and moreover you might be right; (France; B2 VANTAGE; 1993; French; Pass)

We're about to introduce a new identity card system in our company. (Spain; B2 VANTAGE; 2006; Spanish - European; Pass)

My company has a high reputation for manufacturing healthy foods and we are just about to launch a newly-developed healthy snack for children which requires financial backing urgently. (China; B2 VANTAGE; 2008; Chinese; Pass)"
364,FUTURE,future expressions with be,B2,N/A,USE: OBLIGATIONS AND  INSTRUCTIONS WITH 'BE TO',Can use 'be to' talk about future obligations and to give instructions.,"[talking about gorillas] We have no right to do so, because they are to be respected as much as any other living form on this planet! (Italy; B2 VANTAGE; 1993; Italian; Pass)

They are to have their passports with them. (Russia; B2 VANTAGE; 2006; Russian; Pass)

You're to sit in front of the TV and just watch the film. (Argentina; B2 VANTAGE; 2008; Spanish - Latin American; Pass)"
365,FUTURE,future expressions with be,B2,N/A,USE: SCHEDULES,"Can use 'be due to' and, more formally, 'be to' talk about things that are scheduled or expected. ","Our annual conference for HR managers is due to take place on 10 December 2010. (Austria; B2 VANTAGE; 2010; German; Pass)

However, the demand for products is still estimated as ‘normal’ and is due to increase within the next 6 months. (Russia; B2 VANTAGE; 2009; Russian; Pass)

I am sorry but we are to leave a bit earlier - at about 16.00. (Czech Republic; B2 VANTAGE; 2003; Czech; Pass)"
366,FUTURE,future in the past,B1,N/A,USE: 'BE GOING TO',Can use the simple past form of 'be' + 'going to' to talk about the future from a point in the past. ► 'be going to',"She was going to return it but she saw something very strange, her number was on the screen. (Argentina; B1 THRESHOLD; 2008; Spanish - Latin American; Pass)

She didn't know what was going to happen. (Turkey; B1 THRESHOLD; 2009; Turkish; Pass)

We were going to meet two days later in the square next to the centre. (Spain; B1 THRESHOLD; 2008; Spanish - European; Pass)"
367,FUTURE,future in the past,B1,N/A,USE: 'WOULD',Can use 'would' to talk about the future from a point in the past.► 'would',"I've just bought a new dress, and a beautiful black T-shirt. When I saw them, I thought they would be great for tonight's party. (Spanish - Latin American, B1 THRESHOLD, Pass, 2010)

… we thought that the film would be horrible because of the title but when the film started, the story was beautiful and Mauricio and I liked it a lot. (Portuguese, B1 THRESHOLD, Pass, 2002)

As I saw the advert, I knew it would be a lovely birthday present. (B1 THRESHOLD; 2003; ; Pass)"
368,FUTURE,future in the past,B2,N/A,USE: 'BE ABOUT TO',Can use the simple past form of 'be' + 'about to' (often with 'just') to talk about the immediate future from a point in the past.,"Two days before, I told him that our father was about to buy a brand new car. (France; B2 VANTAGE; 2000; French; Pass)

When I was about to answer the question, I realised that it was not as easy as I had thought. (Sweden; B2 VANTAGE; 1993; Swedish; Pass)

Dear Helen, Believe it or not, I was just about to write you a letter when I received yours. (Chile; B2 VANTAGE; 2005; Spanish - Latin American; Pass)

Just as we were about to climb through the broken window, a policeman arrived on the scene. (Greece; B2 VANTAGE; 1993; Greek; Pass)"
369,FUTURE,future in the past,B2,N/A,USE: 'BE ON THE POINT OF',Can use the simple past form of 'be' + 'on the point of' + '-ing' to talk about things that were expected to happen soon after a point in the past.,"In addition, when I was on the point of leaving the office, another phone rang. (Greece; B2 VANTAGE; 2002; Greek; Pass)

In fact he simulated his death to escape from the police, who were on the point of catching him fora penicillin racket. (Laos; B2 VANTAGE; 1993; Lao; Pass)"
370,FUTURE,future in the past,C2,N/A,USE: 'BE DUE TO',Can use the simple past form of 'be' + 'due to' to talk about scheduled events in the future from a point in the past.,"It was quite early in the morning, only 7.15 am, and my plane was due to leave in about 40 minutes. (Germany; C2 MASTERY; 1993; German; Pass)

Ten minutes after the time we were due to begin, she arrived. (Spain; C2 MASTERY; 1998; Catalan; Pass)

We have succeeded in persuading the local Council that the factory that was due to be built near the lake was dangerous. (Greece; C2 MASTERY; 1993; Greek; Pass)"
371,FUTURE,future perfect continuous,B2,N/A,FORM: AFFIRMATIVE,Can use the affirmative form with 'will'.,This summer I will have been working for three years for my company … (Spain; B2 VANTAGE; 2008; Catalan; Pass)
372,FUTURE,future perfect continuous,B2,N/A,FORM: NEGATIVE,,
373,FUTURE,future perfect continuous,B2,N/A,USE: LOOKING BACK FROM A POINT IN THE FUTURE,Can use the future perfect continuous to look back to the past from a point in the future and to emphasise the duration of an activity or event.,"Now I am staying in Hastings in England and this month, I will have been studying English for seven months. (Korea, South; B2 VANTAGE; 1999; Korean; Fail)

I think I could have a holiday just in July because I will have been working for my company for one year by the end of the June. (Turkey; B2 VANTAGE; 2000; Turkish; Pass)"
374,FUTURE,future perfect continuous,C2,N/A,USE: ASSUMPTIONS,Can use the future perfect continuous to make assumptions about the present.,I do not think that this aspect is really necessary because it is supposed that … you will have been studying very hard to occupy that job …. (Argentina; C2 MASTERY; 2005; Spanish - Latin American; Fail)
375,FUTURE,future perfect simple,B2,N/A,FORM: AFFIRMATIVE,Can use the affirmative form with 'will'.,"I'm sure I will have learned today's lesson by the next lesson. (Brazil; B2 VANTAGE; 2003; Portuguese; Pass)

It seems that the decorative role of clothes will have disappeared by the year 2050. (Kazakhstan; B2 VANTAGE; 2000; Russian; Pass)"
376,FUTURE,future perfect simple,B2,N/A,FORM: NEGATIVE,Can use the negative form with 'will'.,"I think that the best time for me to visit Scotland would be in July, because I will not have finished my university exams by June. (Greece; B2 VANTAGE; 2008; Greek; Pass)

[talking about a cycling trip] Once we have finished, it we won't have done more than 40 km, and there are just another 10 to get to the Lakeside Inn. (Spain; B2 VANTAGE; 1998; Spanish - European; Pass)"
