No.,级别,词语,拼音,词性
5157,四级,疗养,liáoyǎng,动
5158,六级,聊,liáo,动
5159,六级,聊天儿,liáo∥tiānr,
5160,高等,寥寥无几,liáoliáo-wújǐ,
5161,高等,潦草,liáocǎo,形
5162,三级,了,liǎo,动
5163,四级,了不起,liǎobuqǐ,形
5164,高等,了结,liǎojié,动
5165,四级,了解,liǎojiě,动
5166,高等,料,liǎoquè,动
5167,六级,料,liào,动
5168,六级,料（名）,liào,名
5169,高等,料到,liàodào,
5170,高等,料理,liàolǐ,动、名
5171,高等,咧嘴,liě∥zuǐ,
5172,四级,列,liè,动、量
5173,四级,列车,lièchē,名
5174,高等,列举,lièjǔ,动
5175,四级,列入,lièrù,动
5176,四级,列为,lièwéi,
5177,高等,劣势,lièshì,名
5178,高等,劣质,lièzhì,形
5179,高等,烈士,lièshì,名
5180,高等,猎犬,lièquǎn,名
5181,高等,猎人,lièrén,名
5182,六级,裂,liè,动
5183,高等,裂缝,lièfèng,名
5184,高等,裂痕,lièhén,名
5185,高等,拎,līn,动
5186,高等,邻国,línguó,名
5187,五级,邻居,línjū,名
5188,高等,临,lín,动、介
5189,高等,临床,línchuáng,动
5190,高等,临街,línjiē,动
5191,高等,临近,línjìn,动
5192,四级,临时,línshí,形、副
5193,高等,淋,lín,动
5194,高等,灵,líng,形
5195,高等,灵感,línggǎn,名
5196,高等,灵魂,línghún,名
5197,六级,灵活,línghuó,形
5198,高等,灵机一动,língjī-yídòng,
5199,高等,灵敏,língmǐn,形
5200,高等,灵巧,língqiǎo,形
5201,高等,灵通,língtōng,形
5202,五级,铃,líng,名
5203,五级,铃声,língshēng,名
5204,高等,凌晨,língchén,名
5205,一级,零∣〇,líng∣líng,数
5206,高等,零花钱,línghuāqián,名
5207,高等,零件,língjiàn,名
5208,高等,零钱,língqián,名
5209,四级,零食,língshí,名
5210,高等,零售,língshòu,动
5211,二级,零下,líng xià,
5212,三级,领,lǐng,动
5213,五级,领带,lǐngdài,名
5214,三级,领导,lǐngdǎo,动、名
5215,高等,领队,lǐngduì,动、名
5216,高等,领会,lǐnghuì,动
5217,高等,领军,lǐngjūn,动
5218,高等,领略,lǐnglüè,动
5219,六级,领取,lǐngqǔ,动
5220,高等,领事,lǐngshì,名
5221,高等,领事馆,lǐngshìguǎn,名
5222,高等,领土,lǐngtǔ,名
5223,高等,领悟,lǐngwù,动
5224,三级,领先,lǐng∥xiān,
5225,六级,领袖,lǐngxiù,名
5226,高等,领养,lǐngyǎng,动
5227,高等,领域,lǐngyù,名
5228,六级,另,lìng,代、副
5229,三级,另外,lìngwài,代、副、连
5230,三级,另一方面,lìng yìfāngmiàn,
5231,五级,令,lìng,动
5232,高等,溜,liū,动
5233,高等,溜达,liūda,动
5234,高等,浏览,liúlǎn,动
5235,高等,浏览器,liúlǎnqì,名
5236,二级,留,liú,动
5237,高等,留恋,liúliàn,动
5238,高等,留念,liúniàn,动
5239,高等,留神,liú∥shén,
5240,二级,留下,liúxia,
5241,高等,留心,liú∥xīn,
5242,三级,留学,liú∥xué,
5243,二级,留学生,liúxuéshēng,名
5244,六级,留言,liúyán,动、名
5245,高等,留意,liú∥yì,
5246,二级,流,liú,动
5247,高等,流畅,liúchàng,形
5248,高等,流程,liúchéng,名
5249,四级,流传,liúchuán,动
5250,五级,流动,liúdòng,动
5251,六级,流感,liúgǎn,名
5252,高等,流浪,liúlàng,动
5253,高等,流泪,liúlèi,动
5254,二级,流利,liúlì,形
5255,高等,流量,liúliàng,名
5256,高等,流露,liúlù,动
5257,高等,流氓,liúmáng,名
5258,高等,流入,liúrù,
5259,高等,流失,liúshī,动
5260,高等,流水,liúshuǐ,名
5261,高等,流淌,liútǎng,动
5262,五级,流通,liútōng,动
5263,高等,流向,liúxiàng,名
5264,二级,流行,liúxíng,动、形
5265,高等,流血,liúxuè,动
5266,高等,流域,liúyù,名
5267,高等,流转,liúzhuǎn,动
5268,高等,柳树,liǔshù,名
5269,一级,六,liù,数
5270,高等,遛,liù,动
5271,三级,龙,lóng,名
5272,高等,龙舟,lóngzhōu,名
5273,高等,聋,lóng,形
5274,高等,聋人,lóngrén,名
5275,高等,笼子,lóngzi,名
5276,高等,隆重,lóngzhòng,形
5277,高等,垄断,lǒngduàn,动
5278,高等,笼统,lǒngtǒng,形
5279,高等,笼罩,lǒngzhào,动
5280,一级,楼,lóu,名
5281,六级,楼道,lóudào,名
5282,六级,楼房,lóufáng,名
5283,一级,楼上,lóu shàng,
5284,四级,楼梯,lóutī,名
5285,一级,楼下,lóu xià,
5286,高等,搂,lǒu,动
5287,五级,漏,lòu,动
5288,五级,漏洞,lòudòng,名
5289,六级,露,lòu,动
5290,高等,露面,lòu∥miàn,
5291,高等,芦花,lúhuā,名
5292,高等,炉灶,lúzào,名
5293,高等,炉子,lúzi,名
5294,高等,卤味,lǔwèi,名
5295,高等,鲁莽,lǔmǎng,形
5296,四级,陆地,lùdì,名
5297,六级,陆军,lùjūn,名
5298,四级,陆续,lùxù,副
5299,三级,录,lù,动
5300,四级,录取,lùqǔ,动
5301,六级,录像,lùxiàng,动、名
5302,三级,录音,lùyīn,动、名
5303,六级,录音机,lùyīnjī,名
5304,高等,录制,lùzhì,动
5305,高等,鹿,lù,名
5306,一级,路,lù,名、量
5307,二级,路边,lù biān,
5308,高等,路程,lùchéng,名
5309,高等,路灯,lùdēng,名
5310,高等,路段,lùduàn,名
5311,六级,路过,lùguò,动
5312,一级,路口,lùkǒu,名
5313,高等,路况,lùkuàng,名
5314,高等,路面,lùmiàn,名
5315,高等,路人,lùrén,名
5316,一级,路上,lùshang,名
5317,高等,路途,lùtú,名
5318,三级,路线,lùxiàn,名
5319,高等,路子,lùzi,名
5320,六级,露,lù,动
5321,高等,露天,lùtiān,名、形
5322,高等,旅程,lǚchéng,名
5323,六级,旅店,lǚdiàn,名
5324,三级,旅馆,lǚguǎn,名
5325,二级,旅客,lǚkè,名
5326,高等,旅途,lǚtú,名
5327,二级,旅行,lǚxíng,动
5328,三级,旅行社,lǚxíngshè,名
5329,二级,旅游,lǚyóu,动
5330,高等,铝,lǚ,名
5331,高等,屡,lǚ,副
5332,高等,屡次,lǚcì,副
5333,高等,缕,lǚ,量
5334,高等,履行,lǚxíng,动
5335,四级,律师,lǜshī,名
5336,高等,率（成功率）,lǜ （chénggōnglǜ）,后缀
5337,二级,绿,lǜ,形
5338,三级,绿茶,lǜchá,名
5339,高等,绿灯,lǜdēng,名
5340,高等,绿地,lǜdì,名
5341,六级,绿化,lǜhuà,动
5342,二级,绿色,lǜsè,名
5343,高等,孪生,luánshēng,形
5344,高等,卵,luǎn,名
5345,三级,乱,luàn,形
5346,高等,乱七八糟,luànqībāzāo,形
5347,高等,掠夺,lüèduó,动
5348,高等,略,lüè,动、形
5349,高等,略微,lüèwēi,副
5350,高等,抡,lūn,动
5351,高等,伦理,lúnlǐ,名
5352,四级,轮,lún,名、动、量
5353,四级,轮船,lúnchuán,名
5354,高等,轮换,lúnhuàn,动
5355,高等,轮廓,lúnkuò,名
5356,高等,轮流,lúnliú,动
5357,高等,轮胎,lúntāi,名
5358,四级,轮椅,lúnyǐ,名
5359,四级,轮子,lúnzi,名
5360,高等,论述,lùnshù,动
5361,高等,论坛,lùntán,名
5362,四级,论文,lùnwén,名
5363,高等,论证,lùnzhèng,动
5364,高等,罗,luó,名、动
5365,高等,萝卜,luóbo,名
5366,五级,逻辑,luó·jí,名
5367,高等,螺丝,luósī,名
5368,高等,裸,luǒ,动
5369,高等,裸露,luǒlù,动
5370,高等,络绎不绝,luòyì-bùjué,
5371,四级,落,luò,动
5372,高等,落差,luòchā,名
5373,高等,落地,luò∥dì,
5374,三级,落后,luò∥hòu,
5375,高等,落户,luò∥hù,
5376,五级,落实,luòshí,动
5377,高等,落下,luòxia,
5378,一级,妈妈,māma∣mā,名
5379,高等,麻,má,名
5380,高等,麻（形）,má,形
5381,高等,麻痹,mábì,动
5382,三级,麻烦,máfan,动、形
5383,高等,麻将,májiàng,名
5384,高等,麻辣,málà,形
5385,高等,麻木,mámù,形
5386,高等,麻醉,mázuì,动
5387,三级,马,mǎ,名
5388,六级,马车,mǎchē,名
5389,高等,马后炮,mǎhòupào,名
5390,高等,马虎,mǎhu,形
5391,高等,马力,mǎlì,量
5392,一级,马路,mǎlù,名
5393,一级,马上,mǎshàng,副
5394,高等,马桶,mǎtǒng,名
5395,高等,马戏,mǎxì,名
5396,高等,码,mǎ,动
5397,高等,码（量）,mǎ,量
5398,五级,码头,mǎ·tóu,名
5399,五级,骂,mà,动
5400,一级,吗,ma,助
5401,六级,嘛,ma,助
5402,六级,埋,mái,动
5403,高等,埋藏,máicáng,动
5404,高等,埋伏,mái·fú,动
5405,高等,埋没,máimò,动
5406,一级,买,mǎi,动
5407,高等,买不起,mǎi bu qǐ,
5408,五级,买卖,mǎimai,名
5409,高等,迈,mài,动
5410,高等,迈进,màijìn,动
5411,二级,卖,mài,动
5412,高等,卖弄,màinong,动
5413,高等,脉搏,màibó,名
5414,高等,脉络,màiluò,名
5415,高等,埋怨,mányuàn,动
5416,高等,蛮,mán,副
5417,六级,馒头,mántou,名
5418,高等,瞒,mán,动
5419,二级,满,mǎn,形
5420,高等,满怀,mǎnhuái,动
5421,二级,满意,mǎnyì,动
5422,三级,满足,mǎnzú,动
5423,高等,蔓延,mànyán,动
5424,高等,漫,màn,动
5425,五级,漫长,màncháng,形
5426,五级,漫画,mànhuà,名
5427,高等,漫游,mànyóu,动
5428,一级,慢,màn,形
5429,六级,慢车,mànchē,名
5430,三级,慢慢,mànmàn,
5431,高等,慢慢来,mànmàn lái,
5432,高等,慢性,mànxìng,形
5433,一级,忙,máng,形
5434,高等,忙活,mánghuo,动
5435,高等,忙碌,mánglù,形
5436,高等,忙乱,mángluàn,形
5437,高等,盲目,mángmù,形
5438,六级,盲人,mángrén,名
5439,高等,茫然,mángrán,形
5440,二级,猫,māo,名
5441,一级,毛,máo,量
5442,三级,毛（名）,máo,名
5443,五级,毛笔,máobǐ,名
5444,三级,毛病,máo·bìng,名
5445,四级,毛巾,máojīn,名
5446,四级,毛衣,máoyī,名
5447,五级,矛盾,máodùn,名、形
5448,高等,矛头,máotóu,名
5449,高等,茅台（酒）,Máotái(jiǔ),名
5450,高等,茂密,màomì,形
5451,高等,茂盛,màoshèng,形
5452,五级,冒,mào,动
5453,高等,冒充,màochōng,动
5454,高等,冒犯,màofàn,动
5455,高等,冒昧,màomèi,形
5456,高等,冒险,mào∥xiǎn,
5457,五级,贸易,màoyì,名
5458,四级,帽子,màozi,名
5459,一级,没,méi,副、动
5460,四级,没错,méi cuò,
5461,四级,没法儿,méifǎr,动
5462,一级,没关系,méi guānxi,
5463,高等,没劲,méijìn,形
5464,一级,没什么,méi shénme,
5465,一级,没事儿,méi∥shìr,
5466,高等,没说的,méishuōde,
5467,高等,没完没了,méiwán-méiliǎo,
5468,四级,没想到,méi xiǎngdào,
5469,高等,没意思,méi yìsi,
5470,三级,没用,méiyòng,动
5471,一级,没有,méi·yǒu,动、副
5472,高等,没辙,méi∥zhé,
5473,高等,没准儿,méi∥zhǔnr,
5474,高等,玫瑰,méigui,名
5475,高等,枚,méi,量
5476,高等,眉开眼笑,méikāi-yǎnxiào,
5477,高等,眉毛,méimao,名
5478,六级,梅花,méihuā,名
5479,三级,媒体,méitǐ,名
5480,五级,煤,méi,名
5481,高等,煤矿,méikuàng,名
5482,五级,煤气,méiqì,名
5483,高等,煤炭,méitàn,名
5484,三级,每,měi,代、副
5485,高等,每当,měidāng,介
5486,高等,每逢,měiféng,动
5487,三级,美,měi,形
5488,高等,美德,měidé,名
5489,高等,美观,měiguān,形
5490,三级,美好,měihǎo,形
5491,高等,美化,měihuà,动
5492,四级,美金,měijīn,名
5493,高等,美景,měijǐng,名
5494,三级,美丽,měilì,形
5495,高等,美满,měimǎn,形
5496,高等,美妙,měimiào,形
5497,四级,美女,měinǚ,名
5498,高等,美人,měirén,名
5499,六级,美容,měiróng,动
5500,三级,美食,měishí,名
5501,三级,美术,měishù,名
5502,高等,美味,měiwèi,名
5503,三级,美元,měiyuán,名
5504,高等,美中不足,měizhōng-bùzú,
5505,高等,美滋滋,měizīzī,形
5506,一级,妹妹∣妹,mèimei∣mèi,名
5507,高等,魅力,mèilì,名
5508,高等,闷,mēn,形、动
5509,一级,门,mén,名、量
5510,高等,门当户对,méndāng-hùduì,
5511,高等,门槛,ménkǎn,名
5512,一级,门口,ménkǒu,名
5513,高等,门铃,ménlíng,名
5514,高等,门路,ménlu,名
5515,一级,门票,ménpiào,名
5516,五级,门诊,ménzhěn,动
5517,高等,闷,mèn,形
5518,一级,们（朋友们）,men （péngyoumen）,后缀
5519,六级,蒙,mēng,动
5520,高等,萌发,méngfā,动
5521,高等,萌芽,méngyá,动、名
5522,六级,蒙,méng,动
5523,高等,盟友,méngyǒu,名
5524,高等,朦胧,ménglóng,形
5525,六级,猛,měng,形
5526,高等,猛烈,měngliè,形
5527,高等,猛然,měngrán,副
5528,四级,梦,mèng,名、动
5529,高等,梦幻,mènghuàn,名
5530,四级,梦见,mèngjiàn,
5531,四级,梦想,mèngxiǎng,动、名
5532,高等,弥补,míbǔ,动
5533,高等,弥漫,mímàn,动
5534,三级,迷,mí,动
5535,高等,迷惑,mí·huò,形、动
5536,高等,迷惑不解,míhuò-bùjiě,
5537,高等,迷恋,míliàn,动
5538,高等,迷路,mí∥lù,
5539,五级,迷人,mírén,形
5540,高等,迷失,míshī,动
5541,五级,迷信,míxìn,动、名
5542,高等,谜,mí,名
5543,高等,谜底,mídǐ,名
5544,高等,谜团,mítuán,名
5545,高等,米,míyǔ,名
5546,二级,米,mǐ,量
5547,三级,米（名）,mǐ,名
5548,一级,米饭,mǐfàn,名
5549,高等,秘方,mìfāng,名
5550,高等,秘诀,mìjué,名
5551,四级,秘密,mìmì,形、名
5552,四级,秘书,mìshū,名
5553,四级,密,mì,形
5554,高等,密不可分,mìbùkěfēn,
5555,高等,密度,mìdù,名
5556,高等,密封,mìfēng,动
5557,高等,密集,mìjí,动、形
5558,四级,密码,mìmǎ,名
5559,四级,密切,mìqiè,形、动
5560,高等,蜜,mì,名
5561,高等,蜜蜂,mìfēng,名
5562,高等,蜜月,mìyuè,名
5563,六级,棉,mián,名
5564,高等,棉花,mián·huā,名
5565,高等,免,miǎn,动
5566,高等,免不了,miǎnbuliǎo,动
5567,高等,免除,miǎnchú,动
5568,六级,免得,miǎnde,连
5569,四级,免费,miǎn∥fèi,
5570,高等,免疫,miǎnyì,动
5571,高等,免职,miǎn∥zhí,
5572,高等,勉强,miǎnqiǎng,形、动
5573,高等,面1,miǎnhuái,动
5574,二级,面2,miàn,名、量
5575,二级,面2（名）,miàn,名
5576,一级,面包,miànbāo,名
5577,高等,面部,miànbù,名
5578,三级,面对,miànduì,动
5579,六级,面对面,miànduìmiàn,
5580,高等,面粉,miànfěn,名
5581,高等,面红耳赤,miànhóng-ěrchì,
5582,三级,面积,miànjī,名
5583,四级,面临,miànlín,动
5584,五级,面貌,miànmào,名
5585,高等,面面俱到,miànmiàn-jùdào,
5586,高等,面目全非,miànmù-quánfēi,
5587,二级,面前,miànqián,名
5588,四级,面试,miànshì,动
5589,一级,面条儿,miàntiáor,名
5590,六级,面向,miànxiàng,动
5591,五级,面子,miànzi,名
5592,高等,苗,miáo,名
5593,高等,苗条,miáotiao,形
5594,高等,苗头,miáotou,名
5595,高等,描绘,miáohuì,动
5596,四级,描述,miáoshù,动
5597,四级,描写,miáoxiě,动
5598,高等,瞄准,miáo∥zhǔn,
5599,五级,秒,miǎo,量
5600,高等,渺小,miǎoxiǎo,形
5601,六级,妙,miào,形
5602,高等,庙,miào,名
5603,高等,庙会,miàohuì,名
5604,六级,灭,miè,动
5605,高等,灭绝,mièjué,动
5606,高等,灭亡,mièwáng,动
5607,高等,民办,mínbàn,形
5608,六级,民歌,míngē,名
5609,六级,民工,míngōng,名
5610,三级,民间,mínjiān,名
5611,六级,民警,mínjǐng,名
5612,高等,民俗,mínsú,名
5613,六级,民意,mínyì,名
5614,高等,民用,mínyòng,形
5615,高等,民众,mínzhòng,名
5616,六级,民主,mínzhǔ,名、形
5617,三级,民族,mínzú,名
5618,五级,敏感,mǐngǎn,形
5619,高等,敏捷,mǐnjié,形
5620,高等,敏锐,mǐnruì,形
5621,二级,名,míng,名、量
5622,二级,名称,míngchēng,名
5623,二级,名单,míngdān,名
5624,六级,名额,míng’é,名
5625,高等,名副其实,míngfùqíshí,
5626,高等,名贵,míngguì,形
5627,高等,名利,mínglì,名
5628,四级,名牌儿,míngpáir,名
5629,四级,名片,míngpiàn,名
5630,高等,名气,míngqi,名
5631,四级,名人,míngrén,名
5632,高等,名声,míngshēng,名
5633,六级,名胜,míngshèng,名
5634,高等,名言,míngyán,名
5635,六级,名义,míngyì,名
5636,六级,名誉,míngyù,名、形
5637,高等,名著,míngzhù,名
5638,一级,名字,míngzi,名
5639,一级,明白,míngbai,形、动
5640,高等,明朗,mínglǎng,形
5641,五级,明亮,míngliàng,形
5642,高等,明媚,míngmèi,形
5643,五级,明明,míngmíng,副
5644,一级,明年,míngnián,名
5645,三级,明确,míngquè,形、动
5646,六级,明日,míngrì,名
5647,一级,明天,míngtiān,名
5648,三级,明显,míngxiǎn,形
5649,二级,明星,míngxīng,名
5650,高等,明智,míngzhì,形
5651,高等,命,míngjì,动
5652,六级,命,mìng,名
5653,高等,命（动）,mìng,动
5654,五级,命令,mìnglìng,名、动
5655,高等,命名,mìng∥míng,
5656,高等,命题,mìng∥tí,
5657,三级,命运,mìngyùn,名
5658,四级,摸,mō,动
5659,高等,摸索,mō·suǒ,动
5660,五级,模范,mófàn,名
5661,五级,模仿,mófǎng,动
5662,五级,模糊,móhu,形
5663,高等,模拟,mónǐ,动
5664,五级,模式,móshì,名
5665,四级,模特儿,mótèr,名
5666,四级,模型,móxíng,名
5667,六级,膜,mó,名
5668,五级,摩擦,mócā,动、名
5669,五级,摩托,mótuō,名
5670,六级,磨,mó,动
5671,高等,磨合,móhé,动
5672,高等,磨难,mónàn,名
5673,高等,磨损,mósǔn,动
5674,高等,蘑菇,mógu,名
5675,高等,魔鬼,móguǐ,名
5676,高等,魔术,móshù,名
5677,高等,抹,mǒ,动
5678,四级,末,mò,名
5679,高等,末日,mòrì,名
5680,高等,没落,mòluò,动
5681,六级,没收,mòshōu,动
5682,高等,陌生,mòshēng,形
5683,高等,莫非,mòfēi,副
5684,高等,莫过于,mòguòyú,动
5685,高等,莫名其妙,mòmíngqímiào,
5686,高等,漠然,mòrán,形
5687,高等,墨,mò,名
5688,六级,墨水,mòshuǐ,名
5689,高等,默读,mòdú,动
5690,四级,默默,mòmò,副
5691,高等,默默无闻,mòmò-wúwén,
5692,高等,默契,mòqì,形、名
5693,高等,谋害,móuhài,动
5694,高等,谋求,móuqiú,动
5695,高等,谋生,móushēng,动
5696,三级,某,mǒu,代
5697,五级,模样,múyàng,名
5698,六级,母,mǔ,形、名
5699,六级,母鸡,mǔjī,名
5700,六级,母女,mǔnǚ,名
5701,三级,母亲,mǔ·qīn,名
5702,六级,母子,mǔzǐ,名
5703,高等,牡丹,mǔdan,名
5704,高等,亩,mǔ,量
5705,高等,木板,mùbǎn,名
5706,高等,木材,mùcái,名
5707,高等,木匠,mù·jiàng,名
5708,高等,木偶,mù’ǒu,名
5709,三级,木头,mùtou,名
5710,三级,目标,mùbiāo,名
5711,高等,目不转睛,mùbùzhuǎnjīng,
5712,高等,目瞪口呆,mùdèng-kǒudāi,
5713,二级,目的,mùdì,名
5714,高等,目的地,mùdìdì,名
5715,高等,目睹,mùdǔ,动
5716,五级,目光,mùguāng,名
5717,高等,目录,mùlù,名
5718,三级,目前,mùqián,名
5719,高等,目中无人,mùzhōng-wúrén,
5720,高等,沐浴露,mùyùlù,名
5721,高等,牧场,mùchǎng,名
5722,高等,牧民,mùmín,名
5723,高等,募捐,mù∥juān,
5724,六级,墓,mù,名
5725,高等,墓碑,mùbēi,名
5726,高等,墓地,mùdì,名
5727,高等,幕,mù,名
5728,高等,幕后,mùhòu,名
5729,高等,穆斯林,mùsīlín,名
5730,一级,拿,ná,动
5731,二级,拿出,náchū,
5732,二级,拿到,nádào,
5733,高等,拿手,náshǒu,形
5734,六级,拿走,názǒu,
5735,一级,哪,nǎ,代
5736,一级,哪里,nǎ·lǐ,代
5737,四级,哪怕,nǎpà,连
5738,一级,哪儿,nǎr,代
5739,一级,哪些,nǎxiē,代
5740,高等,那,nǎ zhīdào,
5741,一级,那,nà,代
5742,二级,那（连）,nà,连
5743,一级,那边,nàbiān,代
5744,二级,那会儿,nàhuìr,代
5745,一级,那里,nà·lǐ,代
5746,二级,那么,nàme,代
5747,一级,那儿,nàr,代
5748,二级,那时候∣那时,nà shíhou∣nà shí,
5749,一级,那些,nàxiē,代
5750,二级,那样,nàyàng,代
5751,高等,呐喊,nàhǎn,动
5752,高等,纳闷儿,nà∥mènr,
5753,高等,纳入,nàrù,动
5754,高等,纳税,nà∥shuì,
5755,高等,纳税人,nàshuìrén,名
5756,四级,哪,na,助
5757,高等,乃,nǎi,副
5758,高等,乃至,nǎizhì,连
5759,一级,奶,nǎi,名
5760,三级,奶茶,nǎichá,名
5761,六级,奶粉,nǎifěn,名
5762,一级,奶奶,nǎinai,名
5763,六级,奶牛,nǎiniú,名
5764,高等,耐,nài,动
5765,高等,耐人寻味,nàirénxúnwèi,
5766,五级,耐心,nàixīn,形、名
5767,高等,耐性,nàixìng,名
5768,一级,男,nán,形
5769,一级,男孩儿,nánháir,名
5770,四级,男女,nánnǚ,名
5771,一级,男朋友,nánpéngyou,名
5772,一级,男人,nánrén,名
5773,一级,男生,nánshēng,名
5774,四级,男士,nánshì,名
5775,五级,男性,nánxìng,名
5776,三级,男子,nánzǐ,名
5777,一级,南,nán,名
5778,五级,南北,nánběi,名
5779,一级,南边,nánbian,名
5780,三级,南部,nánbù,名
5781,二级,南方,nánfāng,名
5782,高等,南瓜,nán·guā,名
5783,五级,南极,nánjí,名
5784,一级,难,nán,形
5785,高等,难处,nánchù,名
5786,三级,难道,nándào,副
5787,五级,难得,nándé,形
5788,高等,难得一见,nándé yí jiàn,
5789,高等,难点,nándiǎn,名
5790,三级,难度,nándù,名
5791,高等,难怪,nánguài,副、动
5792,高等,难关,nánguān,名
5793,二级,难过,nánguò,形
5794,高等,难堪,nánkān,动、形
5795,二级,难看,nánkàn,形
5796,四级,难免,nánmiǎn,形
5797,二级,难受,nánshòu,形
5798,高等,难说,nánshuō,动
5799,二级,难题,nántí,名
5800,二级,难听,nántīng,形
5801,六级,难忘,nánwàng,动
5802,高等,难为情,nánwéiqíng,形
5803,五级,难以,nányǐ,动
5804,高等,难以想象,nányǐ-xiǎngxiàng,
5805,高等,难以置信,nányǐ-zhìxìn,
5806,高等,挠,náo,动
5807,高等,恼羞成怒,nǎoxiū-chéngnù,
5808,四级,脑袋,nǎodai,名
5809,高等,脑海,nǎohǎi,名
5810,高等,脑筋,nǎojīn,名
5811,五级,脑子,nǎozi,名
5812,四级,闹,nào,形、动
5813,高等,闹事,nào∥shì,
5814,高等,闹着玩儿,nàozhewánr,
5815,四级,闹钟,nàozhōng,名
5816,一级,呢,ne,助
5817,三级,内,nèi,名
5818,四级,内部,nèibù,名
5819,高等,内存,nèicún,名
5820,六级,内地,nèidì,名
5821,高等,内阁,nèigé,名
5822,高等,内涵,nèihán,名
5823,高等,内行,nèiháng,形
5824,四级,内科,nèikē,名
5825,高等,内幕,nèimù,名
5826,三级,内容,nèiróng,名
5827,六级,内外,nèiwài,名
5828,高等,内向,nèixiàng,形
5829,三级,内心,nèixīn,名
5830,高等,内需,nèixū,名
5831,六级,内衣,nèiyī,名
5832,五级,内在,nèizài,形
5833,高等,嫩,nèn,形
5834,一级,能,néng,动
5835,三级,能不能,néng bu néng,
5836,六级,能否,néngfǒu,动
5837,四级,能干,nénggàn,形
5838,二级,能够,nénggòu,动
5839,高等,能耗,nénghào,名
5840,三级,能力,nénglì,名
5841,五级,能量,néngliàng,名
5842,高等,能耐,néngnai,名、形
5843,高等,能人,néngrén,名
5844,高等,能源,néngyuán,名
5845,高等,尼龙,nílóng,名
5846,六级,泥,ní,名
5847,高等,泥潭,nítán,名
5848,高等,泥土,nítǔ,名
5849,高等,拟,nǐ,动
5850,高等,拟定,nǐdìng,动
5851,一级,你,nǐ,代
5852,一级,你们,nǐmen,代
5853,高等,逆,nì,动
5854,高等,匿名,nìmíng,动
5855,一级,年,nián,量
5856,三级,年初,niánchū,名
5857,三级,年代,niándài,名
5858,三级,年底,niándǐ,名
5859,五级,年度,niándù,名
5860,高等,年画,niánhuà,名
5861,二级,年级,niánjí,名
5862,三级,年纪,niánjì,名
5863,五级,年龄,niánlíng,名
5864,高等,年迈,niánmài,形
5865,五级,年前,niánqián,名
5866,二级,年轻,niánqīng,形
5867,高等,年限,niánxiàn,名
5868,高等,年薪,niánxīn,名
5869,高等,年夜饭,niányèfàn,名
5870,高等,年终,niánzhōng,名
5871,高等,黏,nián,形
5872,三级,念,niàn,动
5873,高等,念念不忘,niànniàn-búwàng,
5874,高等,念书,niàn∥shū,
5875,高等,念头,niàntou,名
5876,高等,娘,niáng,名
5877,高等,酿造,niàngzào,动
5878,二级,鸟,niǎo,名
5879,高等,鸟巢,niǎocháo,名
5880,高等,尿,niào,动、名
5881,高等,捏,niē,动
5882,一级,您,nín,代
5883,四级,宁静,níngjìng,形
5884,高等,拧,níng,动
5885,高等,凝固,nínggù,动
5886,高等,凝聚,níngjù,动
5887,高等,拧,nǐng,动
5888,高等,宁可,nìngkě,副
5889,高等,牛,nìngyuàn,副
5890,三级,牛,niú,名
5891,五级,牛（形）,niú,形
5892,一级,牛奶,niúnǎi,名
5893,五级,牛仔裤,niúzǎikù,名
5894,六级,扭,niǔ,动
5895,高等,扭曲,niǔqū,动
5896,高等,扭头,niǔ∥tóu,
5897,高等,扭转,niǔzhuǎn,动
5898,高等,纽带,niǔdài,名
5899,高等,纽扣,niǔkòu,名
5900,五级,农产品,nóngchǎnpǐn,名
5901,高等,农场,nóngchǎng,名
5902,三级,农村,nóngcūn,名
5903,高等,农历,nónglì,名
5904,三级,农民,nóngmín,名
5905,高等,农民工,nóngmíngōng,名
5906,三级,农业,nóngyè,名
5907,高等,农作物,nóngzuòwù,名
5908,四级,浓,nóng,形
5909,高等,浓厚,nónghòu,形
5910,高等,浓缩,nóngsuō,动
5911,高等,浓郁,nóngyù,形
5912,高等,浓重,nóngzhòng,形
5913,二级,弄,nòng,动
5914,高等,弄虚作假,nòngxū-zuòjiǎ,
5915,高等,奴隶,núlì,名
5916,二级,努力,nǔlì,形
5917,一级,女,nǚ,形
5918,一级,女儿,nǚ’ér,名
5919,一级,女孩儿,nǚháir,名
5920,一级,女朋友,nǚpéngyou,名
5921,一级,女人,nǚrén,名
5922,一级,女生,nǚshēng,名
5923,四级,女士,nǚshì,名
5924,五级,女性,nǚxìng,名
5925,高等,女婿,nǚxu,名
5926,三级,女子,nǚzǐ,名
5927,五级,暖,nuǎn,形、动
5928,高等,暖烘烘,nuǎnhōnghōng,形
5929,三级,暖和,nuǎnhuo,形
5930,四级,暖气,nuǎnqì,名
5931,高等,虐待,nüèdài,动
5932,高等,挪,nuó,动
5933,高等,诺言,nuòyán,名
5934,高等,哦,ò,叹
5935,高等,殴打,ōudǎ,动
5936,高等,呕吐,ǒutù,动
5937,五级,偶尔,ǒu’ěr,副
5938,五级,偶然,ǒurán,形
5939,五级,偶像,ǒuxiàng,名
5940,高等,趴,pā,动
5941,二级,爬,pá,动
5942,二级,爬山,pá shān,
5943,二级,怕,pà,动
5944,三级,怕（副）,pà,副
5945,三级,拍,pāi,动
5946,高等,拍板,pāi∥bǎn,
