index,level,syllable,headword
3.31,高等,qiào,俏
3.31,高等,zhòu,皱
3.29,五级,cōng,聪
3.29,高等,tuó,驮
3.28,高等,chàn,颤
3.28,一级,zuó,昨
3.27,三级,gài,概
3.27,高等,ruì,锐
3.25,六级,sháo,勺
3.24,高等,fěng,讽
3.23,六级,ào,傲
3.22,高等,piě,撇
3.21,高等,shuān,拴
3.2,五级,yāng,央
3.19,三级,gū,姑
3.18,高等,pēi,胚
3.17,高等,shuàn,涮
3.15,五级,luó,逻
3.15,高等,chěng,逞
3.14,高等,shà,厦
3.13,高等,diān,颠
3.12,高等,lūn,抡
3.12,高等,gěng,耿
3.11,三级,chèn,衬
3.11,高等,qǐn,寝
3.1,高等,lǒng,拢
3.1,高等,shi,匙
3.08,六级,gǒng,巩
3.08,四级,zhàng,丈
3.07,五级,zhěn,诊
3.06,高等,chuǎi,揣
3.06,高等,chuāi,揣
3.05,六级,qié,茄
3.05,高等,hōng,烘
3.04,高等,shāi,筛
3.02,高等,càn,灿
3.01,高等,rǎng,嚷
3.0,高等,guǎ,寡
2.99,高等,kuāng,筐
2.9,五级,qiāo,悄
2.85,高等,chuò,绰
2.84,高等,rǒng,冗
2.84,高等,tuí,颓
2.83,高等,lìn,赁
2.8,高等,miù,谬
2.8,高等,hān,酣
2.76,高等,sǒng,耸
2.75,高等,suǐ,髓
2.75,高等,shē,奢
2.73,高等,kuì,愧
2.72,高等,gà,尬
2.7,高等,yē,椰
2.67,高等,mǎng,莽
2.67,高等,juè,倔
2.65,高等,pōu,剖
2.6,高等,pāng,乓
2.58,高等,xiǔ,朽
2.55,高等,dǔn,盹
2.52,高等,xiáo,淆
2.51,高等,huō,豁
2.46,高等,pīng,乒
2.45,高等,sào,臊
2.44,高等,luán,孪
2.36,高等,sǎng,嗓
2.3,高等,lào,涝
2.28,高等,sòu,嗽
2.24,高等,něi,馁
2.14,高等,jiǒng,窘
2.07,高等,dǎi,歹
2.0,高等,pēng,抨
1.97,六级,mán,馒
